               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.015379,           0.0048917,                   0,             0.94841,             0.92856,             0.93711,             0.46806,            0.030377,           0.0041396,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015646,           0.0051736,                   0,             0.94331,             0.92929,             0.93625,               0.461,            0.029869,           0.0040881,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.014695,           0.0046662,                   0,             0.93676,             0.92929,             0.92606,             0.45977,            0.029892,           0.0041151,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014303,           0.0048894,                   0,             0.94606,             0.93939,             0.94262,             0.45208,            0.029858,           0.0041395,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015682,           0.0054538,                   0,             0.94889,             0.93761,             0.93509,             0.46604,            0.029755,           0.0041645,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015036,           0.0050372,                   0,             0.95913,             0.94819,             0.95245,             0.45769,            0.030541,           0.0041658,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014295,           0.0047775,                   0,             0.92973,             0.94949,             0.94683,             0.46398,            0.030385,           0.0042005,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014758,           0.0050559,                   0,             0.94874,             0.93471,             0.94747,             0.46149,            0.030072,           0.0041613,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013996,           0.0048109,                   0,             0.95833,             0.92929,             0.94673,             0.47136,            0.030054,           0.0041391,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01366,           0.0052642,                   0,             0.92981,             0.93671,             0.93452,             0.46309,             0.03028,            0.004131,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013653,           0.0046656,                   0,             0.92996,             0.93876,              0.9422,             0.47326,            0.030039,           0.0041291,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.01394,           0.0048641,                   0,             0.92885,             0.93939,              0.9357,             0.47267,            0.030029,           0.0041345,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014651,           0.0050232,                   0,              0.9279,             0.93939,             0.92627,             0.46856,            0.029977,           0.0041417,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014101,           0.0047579,                   0,             0.93472,             0.93939,             0.92672,             0.47262,            0.029784,            0.004121,                   0,            0.000298,            0.000298,            0.000298
